run_id,schema_id,scenario_id,time_s,step_index,terrain_component_id,wheel_id,tire_model,x_m,y_m,contact_fx_N,contact_fy_N,contact_fz_N,contact_force_N,slip_ratio,drawbar_pull_N,contact_patch,source
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.000,0,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.005,1,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.010,2,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.015,3,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.020,4,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.025,5,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.030,6,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.035,7,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.040,8,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.045,9,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.050,10,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.055,11,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.060,12,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.065,13,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.070,14,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.075,15,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.080,16,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.085,17,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
environment_terrain_component_demo,terrain.contact_probe.v1,contact_probe_schema_v1,0.090,18,terrain.core_ground,sphere_probe,none_sphere_contact_probe,0.000,0.000,0.00000,0.00000,0.00000,0.00000,,,sphere_ground,fallback_pychrono_unavailable
