schema_id,run_id,scenario_id,step_index,component_id,vehicle_model,terrain_component_id,time_s,body_name,body_role,chassis_x_m,chassis_y_m,chassis_z_m,vx_mps,vy_mps,vz_mps,drive_motor_speed_radps,chassis_contact_force_N,source
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,0,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.000,probe_chassis,logged_chassis,-2.20000,0.00000,0.48000,0.28000,0.00000,0.00000,8.00000,1450.00000,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,1,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.010,probe_chassis,logged_chassis,-2.19775,0.00000,0.48000,0.29362,0.00000,0.00000,8.00000,1452.87938,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,2,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.020,probe_chassis,logged_chassis,-2.19541,0.00000,0.48000,0.30725,0.00000,0.00000,8.00000,1455.75502,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,3,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.030,probe_chassis,logged_chassis,-2.19297,0.00000,0.48000,0.32088,0.00000,0.00000,8.00000,1458.62321,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,4,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.040,probe_chassis,logged_chassis,-2.19043,0.00000,0.48000,0.33451,0.00000,0.00000,8.00000,1461.48023,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,5,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.050,probe_chassis,logged_chassis,-2.18779,0.00000,0.48000,0.34814,0.00000,0.00000,8.00000,1464.32237,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,6,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.060,probe_chassis,logged_chassis,-2.18505,0.00000,0.48000,0.36178,0.00000,0.00000,8.00000,1467.14594,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,7,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.070,probe_chassis,logged_chassis,-2.18222,0.00000,0.48000,0.37542,0.00000,0.00000,8.00000,1469.94730,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,8,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.080,probe_chassis,logged_chassis,-2.17928,0.00000,0.48000,0.38907,0.00000,0.00000,8.00000,1472.72281,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,9,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.090,probe_chassis,logged_chassis,-2.17625,0.00000,0.48000,0.40272,0.00000,0.00000,8.00000,1475.46888,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,10,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.100,probe_chassis,logged_chassis,-2.17311,0.00000,0.48000,0.41639,0.00000,0.00000,8.00000,1478.18194,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,11,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.110,probe_chassis,logged_chassis,-2.16987,0.00000,0.48000,0.43006,0.00000,0.00000,8.00000,1480.85848,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,12,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.120,probe_chassis,logged_chassis,-2.16653,0.00000,0.48000,0.44374,0.00000,0.00000,8.00000,1483.49503,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,13,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.130,probe_chassis,logged_chassis,-2.16309,0.00000,0.48000,0.45743,0.00000,0.00000,8.00000,1486.08818,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,14,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.140,probe_chassis,logged_chassis,-2.15955,0.00000,0.48000,0.47113,0.00000,0.00000,8.00000,1488.63456,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,15,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.150,probe_chassis,logged_chassis,-2.15590,0.00000,0.48000,0.48485,0.00000,0.00000,8.00000,1491.13088,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,16,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.160,probe_chassis,logged_chassis,-2.15215,0.00000,0.48000,0.49857,0.00000,0.00000,8.00000,1493.57390,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,17,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.170,probe_chassis,logged_chassis,-2.14829,0.00000,0.48000,0.51231,0.00000,0.00000,8.00000,1495.96045,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,18,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.180,probe_chassis,logged_chassis,-2.14433,0.00000,0.48000,0.52606,0.00000,0.00000,8.00000,1498.28744,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,19,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.190,probe_chassis,logged_chassis,-2.14026,0.00000,0.48000,0.53983,0.00000,0.00000,8.00000,1500.55186,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,20,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.200,probe_chassis,logged_chassis,-2.13609,0.00000,0.48000,0.55362,0.00000,0.00000,8.00000,1502.75077,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,21,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.210,probe_chassis,logged_chassis,-2.13181,0.00000,0.48000,0.56742,0.00000,0.00000,8.00000,1504.88133,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,22,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.220,probe_chassis,logged_chassis,-2.12743,0.00000,0.48000,0.58124,0.00000,0.00000,8.00000,1506.94076,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,23,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.230,probe_chassis,logged_chassis,-2.12294,0.00000,0.48000,0.59507,0.00000,0.00000,8.00000,1508.92641,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,24,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.240,probe_chassis,logged_chassis,-2.11834,0.00000,0.48000,0.60893,0.00000,0.00000,8.00000,1510.83570,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,25,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.250,probe_chassis,logged_chassis,-2.11363,0.00000,0.48000,0.62280,0.00000,0.00000,8.00000,1512.66615,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,26,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.260,probe_chassis,logged_chassis,-2.10882,0.00000,0.48000,0.63669,0.00000,0.00000,8.00000,1514.41540,deterministic_chassis_probe_pychrono_unavailable
rover.chassis_smoke_probe.v0,rover_vehicle_component_demo,chassis_smoke_probe_v0,27,vehicle.chassis,core_rover_smoke_probe,terrain.core_ground,0.270,probe_chassis,logged_chassis,-2.10389,0.00000,0.48000,0.65061,0.00000,0.00000,8.00000,1516.08117,deterministic_chassis_probe_pychrono_unavailable
