schema_id,run_id,sequence_id,component_id,catalog_component_id,layout_component_id,instance_id,owner_component_id,dynamics_dt_s,dynamics_step_index,sensor_name,sensor_type,sensor_update_rate_hz,frame_index,num_launches,frame_requested_time_s,collection_start_s,collection_end_s,lag_s,frame_ready_time_s,engine_id,device_id,max_engines,filter_chain_id,filter_list_locked,dropped_frame,drop_reason,stale_buffer,source
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.camera.front_rgb,vehicle.chassis,0.02000,0,front_rgb_camera,ChCameraSensor,10.0,0,1,0.00000,0.00000,0.00500,0.020,0.02000,schema_only_engine_0,schema_only_device_0,1,front_rgb_camera_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.camera.front_rgb,vehicle.chassis,0.02000,5,front_rgb_camera,ChCameraSensor,10.0,1,2,0.10000,0.09500,0.10500,0.020,0.12000,schema_only_engine_0,schema_only_device_0,1,front_rgb_camera_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.camera.front_rgb,vehicle.chassis,0.02000,10,front_rgb_camera,ChCameraSensor,10.0,2,3,0.20000,0.19500,0.20500,0.020,0.22000,schema_only_engine_0,schema_only_device_0,1,front_rgb_camera_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.camera.front_rgb,vehicle.chassis,0.02000,15,front_rgb_camera,ChCameraSensor,10.0,3,4,0.30000,0.29500,0.30500,0.020,0.32000,schema_only_engine_0,schema_only_device_0,1,front_rgb_camera_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.camera.front_rgb,vehicle.chassis,0.02000,20,front_rgb_camera,ChCameraSensor,10.0,4,5,0.40000,0.39500,0.40500,0.020,0.42000,schema_only_engine_0,schema_only_device_0,1,front_rgb_camera_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.camera.front_rgb,vehicle.chassis,0.02000,25,front_rgb_camera,ChCameraSensor,10.0,5,6,0.50000,0.49500,0.50500,0.020,0.52000,schema_only_engine_0,schema_only_device_0,1,front_rgb_camera_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,0.02000,0,roof_lidar_xyzi,ChLidarSensor,10.0,0,1,0.00000,0.00000,0.01000,0.015,0.01500,schema_only_engine_0,schema_only_device_0,1,roof_lidar_xyzi_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,0.02000,5,roof_lidar_xyzi,ChLidarSensor,10.0,1,2,0.10000,0.09000,0.11000,0.015,0.11500,schema_only_engine_0,schema_only_device_0,1,roof_lidar_xyzi_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,0.02000,10,roof_lidar_xyzi,ChLidarSensor,10.0,2,3,0.20000,0.19000,0.21000,0.015,0.21500,schema_only_engine_0,schema_only_device_0,1,roof_lidar_xyzi_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
sensor.timing_schedule.v1,data_visualization_component_demo,sensor_layout_schema_v1,sensor.output_writer,sensor.output_writer,sensor.layout,sensor.lidar.roof_xyzi,vehicle.chassis,0.02000,15,roof_lidar_xyzi,ChLidarSensor,10.0,3,4,0.30000,0.29000,0.31000,0.015,0.31500,schema_only_engine_0,schema_only_device_0,1,roof_lidar_xyzi_chain,true,true,sensor_module_unavailable_schema_only,false,fallback_sensor_schema_only_pychrono_sensor_unavailable
