run_id,schema_id,scenario_id,time_s,step_index,component_id,catalog_component_id,controller_id,target_component_id,actuator_instance_id,ownership_role,command_type,command_source,throttle,brake,steering,drive_torque_Nm,wheel_speed_radps,source
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.000,0,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.45000,0.00000,0.00000,54.00000,10.25000,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.020,1,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.46100,0.00000,0.00784,55.31957,10.30498,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.040,2,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.47197,0.00000,0.01567,56.63659,10.35986,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.060,3,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.48290,0.00000,0.02349,57.94851,10.41452,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.080,4,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.49377,0.00000,0.03129,59.25278,10.46887,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.100,5,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.50456,0.00000,0.03907,60.54689,10.52279,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.120,6,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.51524,0.00000,0.04682,61.82832,10.57618,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.140,7,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.52579,0.00000,0.05453,63.09460,10.62894,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.160,8,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.53619,0.00000,0.06220,64.34328,10.68097,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.180,9,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.54643,0.00000,0.06982,65.57193,10.73216,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.200,10,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.55648,0.00000,0.07738,66.77818,10.78242,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.220,11,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.56633,0.00000,0.08488,67.95970,10.83165,fallback_pychrono_unavailable
data_visualization_component_demo,data.control_log.v1,logger_schema_v1,0.240,12,core.function_input,core.function_input,driver.controller,vehicle.drive,actuator.drive_motor.demo,command_owner_with_physical_target,normalized_driver_inputs,analytic_driver_profile,0.57595,0.00000,0.09232,69.11420,10.87976,fallback_pychrono_unavailable
